(0, 0.08279351220363791)
(32, 4.06560006198187)
(64, 11.155727554179567)
(96, 5.637404580152672)
(128, 2.2653454133635336)
(160, 3.5614818120955145)
(192, 3.7682051282051283)
(224, 4.9281387090035516)
(256, 6.809923664122137)
(288, 7.46186895810956)
(320, 8.978658536585366)
(352, 10.951219512195122)
(384, 11.799307958477508)
(416, 12.801587301587302)
(448, 15.64864864864865)
(480, 17.84090909090909)
(512, 18.0)
(544, 21.714285714285715)
(576, 19.0)
(608, 28.25)
(129, 4.319006685768864)
(97, 17.30188679245283)
(33, 4.283531964453804)
(65, 11.525429453773404)
(1, 0.0)
(161, 4.15296803652968)
(193, 5.233812949640288)
(225, 6.58188679245283)
(257, 7.030505243088656)
(289, 9.272435897435898)
(321, 10.452554744525548)
(353, 11.156626506024097)
(385, 12.75177304964539)
(417, 14.73015873015873)
(449, 16.142857142857142)
(481, 21.107142857142858)
(513, 24.833333333333332)
(545, 25.0)
(577, 14.5)
(609, 25.22222222222222)
(2, 0.002350271496879812)
(34, 4.503113111065658)
(66, 11.292882325890348)
(130, 2.869969040247678)
(162, 2.8966233766233764)
(194, 3.855171390414008)
(226, 5.917164816396243)
(258, 5.769094138543517)
(290, 7.647798742138365)
(322, 9.37789203084833)
(98, 5.4650265315967195)
(386, 11.914798206278027)
(418, 14.26530612244898)
(450, 15.256756756756756)
(482, 16.575)
(514, 17.9)
(546, 23.363636363636363)
(578, 15.181818181818182)
(610, 23.333333333333332)
(354, 10.01496259351621)
(3, 0.04868950623343477)
(611, 38.75)
(67, 12.096601913257821)
(99, 16.173745173745175)
(131, 3.6737491432488008)
(163, 4.399014778325123)
(195, 5.75808383233533)
(227, 6.258511252163878)
(259, 7.053591790193843)
(291, 8.846625766871165)
(323, 9.96551724137931)
(355, 11.204188481675393)
(387, 12.375)
(419, 13.9875)
(451, 15.666666666666666)
(483, 19.44)
(515, 19.0)
(547, 22.0)
(579, 12.0)
(35, 4.71939103649042)
(100, 8.426282051282051)
(132, 2.2224955717378467)
(164, 3.0561991054019955)
(68, 11.843908786714588)
(228, 4.970941883767535)
(260, 5.873268133659332)
(292, 8.535031847133759)
(324, 8.65089722675367)
(356, 10.392156862745098)
(388, 12.754716981132075)
(420, 12.503597122302159)
(452, 15.393939393939394)
(484, 16.5)
(516, 19.0)
(548, 19.272727272727273)
(580, 22.0)
(612, 20.0)
(196, 4.833431952662722)
(36, 4.921868951683852)
(4, 0.09797357881523104)
(197, 5.309316200091785)
(229, 6.360912052117264)
(261, 7.419152276295134)
(133, 3.7825059101654848)
(325, 10.402061855670103)
(357, 11.012345679012345)
(389, 12.679611650485437)
(421, 16.240506329113924)
(453, 16.314285714285713)
(485, 20.9375)
(517, 20.357142857142858)
(5, 0.21629529597119063)
(581, 53.0)
(613, 26.333333333333332)
(549, 19.4)
(293, 8.924637681159421)
(101, 13.047001620745544)
(37, 5.159771991477351)
(69, 12.6583516405641)
(165, 4.590405904059041)
(198, 3.9053098572022735)
(230, 5.042665493732131)
(262, 6.9647822057460615)
(294, 7.463444857496902)
(326, 9.12569316081331)
(166, 3.8143767060964513)
(102, 4.246860423394331)
(422, 12.902439024390244)
(454, 17.06382978723404)
(486, 20.486486486486488)
(518, 18.75)
(550, 22.333333333333332)
(582, 6.666666666666667)
(614, 26.0)
(358, 10.960474308300395)
(6, 0.3459829692706405)
(38, 5.36397387682867)
(70, 12.734891406987725)
(134, 2.3528818120654855)
(390, 11.601731601731602)
(263, 7.362864077669903)
(295, 9.240997229916898)
(327, 11.066666666666666)
(359, 11.800995024875622)
(391, 13.467289719626168)
(423, 14.690909090909091)
(455, 14.676470588235293)
(103, 11.469096671949288)
(519, 19.8)
(551, 23.75)
(583, 30.0)
(71, 13.246437477734236)
(487, 20.894736842105264)
(615, 39.666666666666664)
(7, 0.5060277619319262)
(39, 5.589672632476062)
(135, 4.191757779646762)
(167, 4.345187292555714)
(199, 5.326164874551972)
(231, 6.6769480519480515)
(328, 10.303125)
(360, 10.573264781491002)
(392, 12.468468468468469)
(424, 15.014285714285714)
(456, 17.35)
(488, 19.435897435897434)
(520, 23.22222222222222)
(552, 22.7)
(8, 0.6427255368329369)
(584, 18.714285714285715)
(616, 23.0)
(40, 5.803236608321802)
(72, 12.278030505753279)
(104, 3.669362665803947)
(136, 2.92657926102503)
(168, 3.0583582727661396)
(200, 4.068278805120911)
(232, 6.037685060565276)
(264, 5.957016434892541)
(296, 7.698431845597105)
(393, 13.723577235772357)
(425, 16.123076923076923)
(457, 16.88)
(489, 23.25)
(521, 24.0)
(553, 26.6)
(585, 22.666666666666668)
(617, 36.25)
(137, 3.768723786698622)
(105, 8.80295566502463)
(41, 6.030739428824441)
(73, 13.826408332400044)
(9, 0.7676064751209605)
(169, 4.6992149165848875)
(201, 5.7236431690580165)
(233, 6.350641417226634)
(265, 7.394321766561514)
(297, 9.373376623376624)
(329, 9.995833333333334)
(361, 11.754838709677419)
(458, 14.633333333333333)
(490, 19.764705882352942)
(522, 18.217391304347824)
(554, 22.5)
(586, 15.0)
(618, 27.25)
(10, 0.8977335836881496)
(362, 10.48663101604278)
(42, 6.231431946084903)
(74, 12.618486633439058)
(138, 2.3097629961962354)
(170, 3.2227032227032226)
(202, 4.9559808612440195)
(234, 5.180952380952381)
(266, 6.171912832929782)
(298, 8.184149184149184)
(330, 9.057142857142857)
(106, 3.2128065395095367)
(394, 14.115107913669064)
(426, 13.299212598425196)
(523, 23.625)
(555, 25.6)
(587, 31.0)
(43, 6.442220654078255)
(107, 6.641963426371511)
(11, 1.0087057320621702)
(619, 42.0)
(75, 14.547348757005317)
(139, 4.095744680851064)
(171, 4.807966706302022)
(203, 5.424185167690127)
(235, 6.539483394833948)
(267, 7.995689655172414)
(299, 9.33048433048433)
(331, 9.788461538461538)
(363, 11.451428571428572)
(395, 13.982758620689655)
(427, 14.970149253731343)
(459, 18.633333333333333)
(491, 19.285714285714285)
(588, 28.77777777777778)
(620, 24.0)
(44, 6.622715488064982)
(76, 14.242132600061106)
(12, 1.093702061487381)
(108, 2.0176531671858773)
(140, 2.476727313316218)
(172, 3.9144423260247856)
(204, 4.135050625372245)
(236, 5.197989949748743)
(268, 7.246376811594203)
(300, 7.858353510895884)
(332, 9.20964749536178)
(364, 12.02155172413793)
(396, 12.515981735159817)
(428, 13.594594594594595)
(460, 16.967741935483872)
(492, 17.193548387096776)
(524, 18.90909090909091)
(556, 20.8)
(45, 6.902503650029741)
(557, 9.0)
(109, 6.736720554272518)
(141, 4.192667706708268)
(77, 15.152576563359618)
(173, 4.491906474820144)
